               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.091293,             0.14899,            0.021934,             0.45537,             0.33191,             0.33057,             0.18111,            0.090685,             0.22932,            0.029872,           0.0019975,           0.0019975,           0.0019975
                  99,            0.091772,             0.15026,            0.022041,             0.45282,             0.33518,             0.33135,             0.18186,            0.090683,             0.22937,            0.029835,            0.001915,            0.001915,            0.001915
                 100,            0.091386,             0.14987,            0.021904,             0.44937,             0.33986,             0.33245,             0.18263,            0.090668,             0.22946,            0.029849,           0.0018325,           0.0018325,           0.0018325
                 101,            0.091111,             0.14826,            0.021724,             0.44721,             0.33802,             0.33214,              0.1818,            0.090656,             0.22971,             0.02985,             0.00175,             0.00175,             0.00175
                 102,            0.091508,             0.14863,            0.021872,             0.44079,             0.34177,             0.33134,             0.18198,            0.090628,             0.22951,            0.029846,           0.0016675,           0.0016675,           0.0016675
                 103,            0.091468,             0.14906,            0.021826,              0.4459,             0.34285,             0.33168,             0.18207,            0.090616,             0.22953,            0.029847,            0.001585,            0.001585,            0.001585
                 104,            0.091681,             0.14881,            0.021958,             0.45104,             0.33676,             0.33115,              0.1815,            0.090604,              0.2296,            0.029855,           0.0015025,           0.0015025,           0.0015025
                 105,            0.091192,             0.14983,            0.021785,             0.44939,             0.33558,             0.33031,             0.18125,            0.090616,             0.22967,            0.029881,             0.00142,             0.00142,             0.00142
                 106,            0.090962,              0.1472,             0.02162,             0.44556,             0.33569,             0.33037,             0.18126,            0.090631,              0.2297,            0.029903,           0.0013375,           0.0013375,           0.0013375
                 107,            0.091136,             0.14843,            0.021678,             0.45004,             0.33502,             0.33094,             0.18193,            0.090635,             0.22974,             0.02992,            0.001255,            0.001255,            0.001255
                 108,             0.09134,             0.14923,            0.021715,              0.4464,             0.33643,             0.33139,             0.18243,            0.090622,             0.22975,            0.029927,           0.0011725,           0.0011725,           0.0011725
                 109,            0.091338,             0.14818,            0.021559,             0.44565,             0.33669,             0.33089,             0.18211,             0.09063,             0.22987,             0.02994,             0.00109,             0.00109,             0.00109
                 110,            0.091129,             0.14795,            0.021604,              0.4489,             0.33756,             0.33146,             0.18273,            0.090623,             0.22988,             0.02994,           0.0010075,           0.0010075,           0.0010075
                 111,            0.091049,             0.14845,            0.021383,             0.45054,              0.3367,             0.33219,               0.183,             0.09063,             0.23002,             0.02994,            0.000925,            0.000925,            0.000925
                 112,            0.091032,             0.14656,            0.021443,             0.45326,             0.33495,             0.33217,             0.18307,            0.090627,             0.23019,            0.029958,           0.0008425,           0.0008425,           0.0008425
                 113,            0.090651,             0.14665,            0.021411,             0.45017,             0.33665,             0.33252,             0.18313,            0.090633,             0.23031,            0.029962,             0.00076,             0.00076,             0.00076
                 114,            0.091013,             0.14718,            0.021352,             0.45111,              0.3356,             0.33276,             0.18293,            0.090642,             0.23049,            0.029964,           0.0006775,           0.0006775,           0.0006775
                 115,            0.091021,             0.14796,            0.021372,             0.45358,             0.33573,             0.33366,             0.18355,            0.090651,             0.23062,            0.029964,            0.000595,            0.000595,            0.000595
                 116,            0.091034,             0.14731,            0.021385,             0.45352,             0.33535,             0.33334,             0.18331,            0.090657,             0.23069,            0.029952,           0.0005125,           0.0005125,           0.0005125
                 117,            0.091071,             0.14666,            0.021394,             0.45051,             0.33588,             0.33301,             0.18307,            0.090659,             0.23083,            0.029956,             0.00043,             0.00043,             0.00043
                 118,            0.091047,             0.14775,            0.021339,             0.44443,             0.34027,             0.33277,             0.18296,            0.090666,               0.231,            0.029962,           0.0003475,           0.0003475,           0.0003475
                 119,            0.091157,             0.14658,            0.021266,             0.44744,             0.33752,              0.3329,             0.18318,            0.090672,             0.23109,            0.029973,            0.000265,            0.000265,            0.000265
