                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.339,                0.97488,                0.96993,                0.45427,                0.34116,                0.34217,                0.19932,                 1.2585,                0.91512,                0.94016,               0.006898,               0.006898,               0.006898
                     49,                 1.3363,                0.96842,                0.97135,                0.46626,                0.33932,                0.34988,                0.20495,                 1.2551,                0.90896,                0.94004,               0.006832,               0.006832,               0.006832
                     50,                 1.3296,                 0.9658,                0.96911,                 0.4566,                 0.3493,                0.35011,                0.20454,                  1.261,                0.90933,                0.94195,               0.006766,               0.006766,               0.006766
                     51,                 1.3234,                0.96028,                0.96642,                0.46001,                0.34785,                0.35053,                0.20661,                 1.2563,                0.90769,                0.94009,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.3291,                 0.9611,                0.96739,                0.46444,                0.34727,                0.35321,                0.20663,                 1.2547,                0.90488,                0.94002,               0.006634,               0.006634,               0.006634
                     53,                 1.3218,                 0.9528,                0.96832,                0.46252,                0.34653,                0.34924,                0.20615,                 1.2512,                0.90482,                0.93954,               0.006568,               0.006568,               0.006568
                     54,                 1.3231,                0.95217,                0.96401,                0.46076,                0.35116,                0.35271,                0.20764,                 1.2536,                0.90229,                0.93979,               0.006502,               0.006502,               0.006502
                     55,                 1.3201,                0.94756,                0.96547,                0.45981,                0.35372,                0.35445,                0.20855,                 1.2478,                0.89998,                0.93862,               0.006436,               0.006436,               0.006436
                     56,                 1.3138,                0.94314,                0.96345,                0.46858,                0.35554,                0.35829,                0.20827,                  1.247,                0.89801,                0.93768,                0.00637,                0.00637,                0.00637
                     57,                 1.3105,                0.94041,                0.96184,                0.46671,                0.35167,                 0.3561,                0.21011,                 1.2463,                0.89539,                0.93697,               0.006304,               0.006304,               0.006304
                     58,                 1.3119,                0.94009,                0.96252,                0.47601,                0.34699,                0.35737,                0.21079,                 1.2453,                0.89373,                0.93706,               0.006238,               0.006238,               0.006238
                     59,                 1.3062,                0.93684,                0.96269,                0.46504,                0.34978,                0.35527,                0.21009,                 1.2442,                0.89555,                0.93685,               0.006172,               0.006172,               0.006172
                     60,                 1.3046,                0.93028,                0.96009,                0.46363,                0.35939,                0.36092,                0.21326,                  1.242,                0.88831,                0.93589,               0.006106,               0.006106,               0.006106
                     61,                  1.298,                0.92576,                0.96006,                0.47165,                0.35773,                0.36086,                0.21359,                 1.2387,                0.88797,                0.93528,                0.00604,                0.00604,                0.00604
                     62,                 1.3018,                0.92816,                0.95767,                0.46488,                0.35957,                 0.3591,                0.21175,                 1.2403,                0.89053,                0.93527,               0.005974,               0.005974,               0.005974
                     63,                 1.3089,                0.93063,                 0.9607,                0.46019,                0.35517,                0.35599,                0.20954,                 1.2397,                0.89085,                0.93468,               0.005908,               0.005908,               0.005908
                     64,                 1.2959,                0.92225,                0.95622,                0.46827,                0.36075,                0.36148,                 0.2134,                 1.2361,                0.88624,                0.93397,               0.005842,               0.005842,               0.005842
                     65,                 1.2975,                0.92364,                0.96228,                0.47031,                0.35881,                 0.3652,                0.21615,                  1.233,                0.88457,                0.93337,               0.005776,               0.005776,               0.005776
                     66,                 1.3022,                0.92739,                0.95711,                 0.4795,                0.36022,                0.36574,                0.21715,                 1.2366,                0.88409,                0.93297,                0.00571,                0.00571,                0.00571
                     67,                 1.3082,                 0.9284,                0.95606,                0.47311,                0.36075,                0.36517,                0.21559,                 1.2564,                0.90197,                0.93227,               0.005644,               0.005644,               0.005644
                     68,                 1.3161,                0.93274,                0.95425,                0.47891,                0.35574,                 0.3643,                 0.2151,                 1.2653,                0.90959,                0.93079,               0.005578,               0.005578,               0.005578
                     69,                 1.3238,                0.94131,                0.95342,                0.47859,                0.36043,                0.36565,                0.21662,                 1.2692,                0.91192,                0.93061,               0.005512,               0.005512,               0.005512
                     70,                 1.3297,                0.94312,                0.95267,                0.46861,                0.36169,                0.36665,                0.21674,                  1.271,                0.91563,                0.92893,               0.005446,               0.005446,               0.005446
                     71,                 1.3287,                0.94683,                0.95368,                0.47548,                0.36545,                0.37024,                0.21985,                 1.2691,                0.91232,                0.92735,                0.00538,                0.00538,                0.00538
                     72,                 1.3281,                0.94458,                0.94804,                0.48707,                 0.3575,                0.36962,                0.21959,                 1.2678,                0.91136,                0.92589,               0.005314,               0.005314,               0.005314
                     73,                 1.3155,                0.93778,                0.94669,                0.48587,                0.36099,                0.36999,                0.22013,                 1.2672,                0.91353,                0.92624,               0.005248,               0.005248,               0.005248
                     74,                 1.3174,                0.93582,                0.94416,                0.48136,                0.36486,                0.36922,                0.21873,                 1.2643,                0.90835,                0.92505,               0.005182,               0.005182,               0.005182
                     75,                 1.3158,                0.93493,                0.94603,                0.47906,                0.36353,                0.36834,                 0.2187,                 1.2626,                 0.9093,                0.92458,               0.005116,               0.005116,               0.005116
                     76,                 1.3109,                0.92885,                0.94277,                0.47842,                 0.3649,                0.36886,                0.21833,                 1.2605,                0.90818,                0.92391,                0.00505,                0.00505,                0.00505
                     77,                 1.3068,                0.92612,                 0.9439,                0.48172,                0.36573,                0.37128,                0.21998,                 1.2612,                0.90528,                0.92385,               0.004984,               0.004984,               0.004984
                     78,                 1.3089,                0.92499,                0.94233,                0.47234,                0.37091,                0.37162,                0.21996,                 1.2597,                0.90379,                0.92284,               0.004918,               0.004918,               0.004918
                     79,                  1.308,                0.92534,                0.94193,                0.47388,                 0.3713,                0.37158,                0.22013,                 1.2561,                0.90033,                0.92182,               0.004852,               0.004852,               0.004852
                     80,                  1.303,                0.92129,                 0.9402,                 0.4766,                0.37041,                0.37365,                0.22125,                 1.2566,                0.89984,                0.92186,               0.004786,               0.004786,               0.004786
                     81,                 1.3049,                0.92047,                0.93911,                0.47384,                0.37189,                0.37345,                0.22146,                 1.2535,                 0.8999,                0.92115,                0.00472,                0.00472,                0.00472
                     82,                  1.298,                0.91409,                0.93911,                0.48543,                0.36874,                0.37423,                0.22171,                 1.2536,                0.89819,                0.92039,               0.004654,               0.004654,               0.004654
                     83,                 1.2975,                0.91929,                0.93882,                0.48664,                 0.3693,                0.37308,                0.22148,                 1.2523,                0.89842,                0.92023,               0.004588,               0.004588,               0.004588
                     84,                 1.2979,                0.91326,                0.93687,                0.48756,                0.36864,                0.37423,                0.22241,                  1.252,                0.89553,                0.92035,               0.004522,               0.004522,               0.004522
                     85,                 1.2908,                0.90588,                0.93467,                0.47841,                0.37605,                0.37716,                0.22368,                 1.2518,                 0.8932,                0.92016,               0.004456,               0.004456,               0.004456
                     86,                 1.2993,                0.91259,                0.93772,                0.47661,                0.37409,                0.37432,                0.22229,                 1.2502,                0.89237,                0.92007,                0.00439,                0.00439,                0.00439
                     87,                 1.2865,                0.90373,                0.93589,                0.47796,                 0.3717,                0.37517,                0.22261,                 1.2488,                0.89248,                0.91943,               0.004324,               0.004324,               0.004324
                     88,                 1.2907,                0.90154,                0.93705,                0.47806,                 0.3765,                0.37835,                 0.2249,                 1.2474,                0.89179,                0.91903,               0.004258,               0.004258,               0.004258
                     89,                 1.2806,                0.89727,                0.93419,                0.47792,                0.37665,                0.37898,                0.22479,                 1.2484,                0.89038,                0.91871,               0.004192,               0.004192,               0.004192
                     90,                  1.287,                 0.9011,                0.93559,                 0.4692,                0.38332,                0.37838,                0.22505,                  1.247,                0.89014,                0.91847,               0.004126,               0.004126,               0.004126
                     91,                 1.2859,                0.89956,                0.93364,                0.47628,                0.37563,                 0.3779,                0.22449,                 1.2463,                0.88905,                0.91834,                0.00406,                0.00406,                0.00406
                     92,                 1.2845,                0.89572,                0.93446,                0.47503,                0.37598,                0.37838,                0.22481,                 1.2444,                0.88759,                0.91769,               0.003994,               0.003994,               0.003994
                     93,                 1.2758,                0.88918,                0.93189,                0.47615,                0.37861,                 0.3788,                0.22522,                  1.244,                0.88711,                0.91789,               0.003928,               0.003928,               0.003928
                     94,                 1.2764,                0.88933,                0.93287,                0.48153,                0.37611,                0.37847,                0.22519,                 1.2435,                0.88666,                0.91753,               0.003862,               0.003862,               0.003862
                     95,                 1.2772,                0.88647,                0.93213,                0.47724,                0.37829,                0.38041,                0.22605,                 1.2434,                0.88566,                0.91757,               0.003796,               0.003796,               0.003796
                     96,                 1.2814,                 0.8879,                0.93109,                0.47776,                0.38054,                0.38003,                0.22549,                 1.2431,                0.88511,                0.91742,                0.00373,                0.00373,                0.00373
                     97,                 1.2699,                0.88161,                0.93294,                0.48323,                0.37914,                0.38049,                0.22564,                 1.2428,                0.88488,                 0.9173,               0.003664,               0.003664,               0.003664
                     98,                 1.2758,                0.88276,                0.93104,                0.47692,                0.38231,                0.38029,                0.22541,                 1.2431,                0.88423,                0.91726,               0.003598,               0.003598,               0.003598
                     99,                 1.2767,                0.88142,                0.93203,                0.47215,                0.38205,                0.38221,                0.22671,                 1.2414,                 0.8827,                0.91676,               0.003532,               0.003532,               0.003532
                    100,                 1.2717,                 0.8794,                0.92954,                0.47264,                0.38602,                0.38198,                0.22774,                 1.2408,                0.88256,                 0.9169,               0.003466,               0.003466,               0.003466
                    101,                 1.2662,                0.87285,                0.92848,                0.48437,                0.37787,                0.38272,                0.22772,                 1.2403,                0.88242,                0.91681,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.2685,                0.87231,                0.92817,                0.48856,                 0.3838,                0.38457,                 0.2286,                 1.2393,                0.88103,                0.91652,               0.003334,               0.003334,               0.003334
                    103,                 1.2643,                0.86742,                 0.9277,                0.48382,                0.38324,                0.38447,                0.22865,                 1.2385,                 0.8806,                0.91622,               0.003268,               0.003268,               0.003268
                    104,                 1.2635,                0.87077,                0.92741,                0.48866,                0.38209,                0.38521,                0.22859,                 1.2387,                0.87986,                0.91623,               0.003202,               0.003202,               0.003202
                    105,                 1.2588,                0.86474,                0.92949,                0.48362,                0.38324,                0.38426,                0.22814,                 1.2396,                0.88005,                0.91644,               0.003136,               0.003136,               0.003136
                    106,                 1.2634,                0.86934,                0.92982,                0.49252,                0.37874,                0.38453,                0.22807,                   1.24,                0.88059,                0.91674,                0.00307,                0.00307,                0.00307
                    107,                 1.2567,                0.85929,                0.92739,                0.49379,                0.37746,                0.38479,                0.22832,                 1.2389,                0.88038,                0.91641,               0.003004,               0.003004,               0.003004
                    108,                  1.267,                0.86502,                0.92735,                0.49159,                0.37899,                0.38521,                0.22865,                 1.2387,                0.88024,                0.91609,               0.002938,               0.002938,               0.002938
                    109,                 1.2518,                0.85746,                0.92491,                0.49396,                0.37944,                0.38597,                0.22863,                 1.2372,                0.87935,                0.91565,               0.002872,               0.002872,               0.002872
                    110,                 1.2549,                0.85854,                0.92733,                 0.4866,                0.38053,                0.38615,                0.22882,                 1.2377,                0.87951,                0.91581,               0.002806,               0.002806,               0.002806
                    111,                 1.2518,                0.85543,                0.92604,                0.48588,                0.38109,                0.38637,                0.22882,                 1.2379,                0.87904,                0.91584,                0.00274,                0.00274,                0.00274
                    112,                 1.2478,                0.85363,                0.92478,                0.48362,                0.38526,                0.38615,                0.22882,                  1.238,                0.87873,                0.91577,               0.002674,               0.002674,               0.002674
                    113,                 1.2532,                0.85114,                0.92596,                0.48733,                0.38335,                0.38632,                0.22948,                 1.2374,                0.87831,                0.91566,               0.002608,               0.002608,               0.002608
                    114,                 1.2491,                0.84868,                0.92493,                0.49537,                0.37967,                0.38688,                0.22957,                 1.2371,                 0.8782,                 0.9159,               0.002542,               0.002542,               0.002542
                    115,                  1.246,                0.84656,                0.92549,                0.49841,                0.37857,                0.38688,                0.22929,                 1.2371,                0.87717,                0.91575,               0.002476,               0.002476,               0.002476
                    116,                 1.2397,                0.84517,                0.92456,                0.50329,                0.37619,                0.38673,                0.22946,                 1.2366,                0.87727,                0.91598,                0.00241,                0.00241,                0.00241
                    117,                  1.243,                 0.8423,                0.92408,                0.49699,                0.37859,                0.38657,                0.22975,                 1.2369,                0.87685,                0.91601,               0.002344,               0.002344,               0.002344
                    118,                  1.245,                0.84277,                0.92212,                0.49709,                 0.3793,                0.38706,                0.23045,                 1.2366,                0.87637,                0.91595,               0.002278,               0.002278,               0.002278
                    119,                 1.2452,                0.84337,                0.92338,                0.49733,                0.37907,                 0.3879,                0.23086,                 1.2366,                0.87595,                0.91587,               0.002212,               0.002212,               0.002212
                    120,                 1.2413,                0.83793,                0.92167,                 0.4959,                0.38034,                0.38824,                0.23109,                 1.2366,                0.87584,                0.91569,               0.002146,               0.002146,               0.002146
                    121,                 1.2398,                0.83594,                0.91976,                0.49639,                0.37938,                0.38754,                0.23088,                 1.2366,                0.87543,                0.91553,                0.00208,                0.00208,                0.00208
                    122,                  1.241,                0.83646,                0.92099,                0.49358,                0.38157,                0.38793,                 0.2305,                 1.2369,                0.87551,                0.91558,               0.002014,               0.002014,               0.002014
                    123,                  1.238,                0.83217,                0.92062,                0.49375,                0.38108,                0.38736,                0.23067,                 1.2368,                0.87512,                0.91555,               0.001948,               0.001948,               0.001948
                    124,                 1.2327,                  0.829,                0.91984,                  0.495,                0.38001,                0.38764,                0.23093,                 1.2366,                 0.8753,                0.91565,               0.001882,               0.001882,               0.001882
                    125,                 1.2304,                0.82732,                0.91907,                0.49289,                0.38059,                0.38749,                0.23076,                  1.237,                 0.8749,                 0.9158,               0.001816,               0.001816,               0.001816
                    126,                 1.2275,                0.82254,                0.91803,                0.49614,                0.38101,                0.38812,                0.23118,                 1.2374,                0.87517,                0.91586,                0.00175,                0.00175,                0.00175
                    127,                 1.2305,                0.82594,                0.91711,                0.49471,                0.38088,                0.38807,                0.23113,                 1.2373,                0.87524,                0.91569,               0.001684,               0.001684,               0.001684
                    128,                 1.2301,                0.82023,                0.91766,                0.49576,                0.37965,                0.38774,                0.23103,                 1.2375,                0.87527,                0.91571,               0.001618,               0.001618,               0.001618
                    129,                 1.2233,                0.82281,                0.92012,                0.49758,                0.37837,                0.38779,                0.23102,                 1.2375,                 0.8749,                0.91566,               0.001552,               0.001552,               0.001552
                    130,                 1.2296,                0.82308,                0.91875,                0.49874,                0.37848,                0.38825,                0.23103,                 1.2374,                0.87518,                0.91555,               0.001486,               0.001486,               0.001486
                    131,                 1.2233,                0.81775,                0.91746,                0.49865,                0.37878,                 0.3882,                 0.2308,                 1.2372,                0.87517,                0.91548,                0.00142,                0.00142,                0.00142
                    132,                 1.2208,                0.81833,                0.91652,                 0.4982,                0.38002,                0.38875,                0.23092,                 1.2374,                 0.8754,                0.91542,               0.001354,               0.001354,               0.001354
                    133,                 1.2298,                 0.8191,                0.91796,                0.49876,                0.37896,                0.38813,                0.23036,                 1.2378,                0.87554,                0.91537,               0.001288,               0.001288,               0.001288
                    134,                 1.2241,                0.81394,                0.91738,                0.49732,                0.37842,                0.38805,                0.23023,                 1.2374,                 0.8758,                 0.9154,               0.001222,               0.001222,               0.001222
                    135,                 1.2187,                0.81061,                0.91597,                0.49651,                0.37828,                0.38805,                0.23065,                 1.2377,                0.87582,                0.91539,               0.001156,               0.001156,               0.001156
                    136,                 1.2153,                0.80784,                0.91641,                0.49423,                0.37918,                0.38787,                0.23085,                 1.2377,                0.87599,                0.91535,                0.00109,                0.00109,                0.00109
                    137,                 1.2105,                0.80424,                0.91497,                0.49598,                0.37819,                0.38767,                0.23081,                 1.2379,                0.87624,                0.91541,               0.001024,               0.001024,               0.001024
                    138,                 1.2181,                0.80687,                0.91536,                0.49671,                0.37855,                0.38771,                0.23079,                 1.2377,                0.87602,                0.91535,               0.000958,               0.000958,               0.000958
                    139,                 1.2094,                0.80259,                0.91468,                0.49799,                0.37751,                0.38795,                0.23093,                 1.2379,                0.87648,                0.91535,               0.000892,               0.000892,               0.000892
                    140,                 1.2167,                0.80592,                0.91517,                0.49767,                0.37804,                0.38779,                0.23072,                 1.2381,                0.87652,                0.91543,               0.000826,               0.000826,               0.000826
                    141,                 1.2139,                0.80372,                0.91452,                0.49632,                0.37947,                0.38746,                0.23073,                  1.238,                0.87647,                0.91537,                0.00076,                0.00076,                0.00076
                    142,                 1.2165,                0.80373,                0.91434,                0.49374,                 0.3807,                0.38734,                0.23072,                 1.2383,                0.87663,                0.91545,               0.000694,               0.000694,               0.000694
                    143,                 1.2126,                0.80043,                0.91681,                0.49465,                0.38009,                 0.3873,                0.23063,                 1.2386,                0.87693,                0.91541,               0.000628,               0.000628,               0.000628
                    144,                 1.2118,                 0.7978,                0.91398,                0.49185,                0.37978,                0.38656,                0.23053,                 1.2385,                0.87713,                0.91545,               0.000562,               0.000562,               0.000562
                    145,                 1.2053,                0.79397,                0.91434,                0.49253,                0.38044,                0.38695,                0.23055,                 1.2383,                0.87713,                0.91546,               0.000496,               0.000496,               0.000496
                    146,                 1.2081,                0.79373,                 0.9117,                0.49309,                0.37938,                0.38658,                 0.2306,                 1.2384,                 0.8772,                0.91535,                0.00043,                0.00043,                0.00043
                    147,                 1.2072,                0.79345,                0.91256,                 0.4912,                0.37957,                0.38661,                0.23069,                 1.2387,                0.87752,                0.91541,               0.000364,               0.000364,               0.000364
                    148,                 1.2082,                0.79421,                0.91456,                0.49274,                0.37924,                 0.3868,                0.23054,                 1.2387,                0.87797,                0.91537,               0.000298,               0.000298,               0.000298
                    149,                 1.2025,                0.78917,                0.91178,                0.49018,                  0.381,                0.38617,                 0.2304,                 1.2386,                0.87813,                0.91538,               0.000232,               0.000232,               0.000232
                    150,                 1.2075,                0.79114,                0.91452,                0.48819,                0.38445,                0.38681,                 0.2304,                  1.239,                0.87858,                0.91544,               0.000166,               0.000166,               0.000166
